Codigo;Estacao;CodigoAdicional;Latitude;Longitude;Altitude;AreaDrenagem;TipoEstacao;Bacia;BaciaCodigo;SubBacia;SubBaciaCodigo;RioCodigo;Rio;Jurisdicao;EstadoNome;EstadoSigla;EstadoCodigo;MunicipioCodigo;Municipio;OperadoraCodigo;OperadoraSigla;OperadoraNome;ResponsavelCodigo;ResponsavelSigla;ResponsavelNome
10012931;RIO PANO;SC-25;-0,99;-77,81;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013500;MISAHUALLI EN COTUNDO;H-720;-0,83;-77,78;800;185;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10014300;RIO SACHA;SC-11;-0,3;-76,85;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10014500;JIVINO VERDE SALIDA DEL PUEBLO JIVINIO;SC-6;-0,18;-76,83;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10017400;SANTA CECILIA SECTOR BATALLÓN SELVA 56 TUNGURAHUA;DHN-CNAP-04;0,06;-77;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10015000;PUERTO FRANCISCO DE ORELLANA;HA2Q;-0,47;-76,97;298;12200;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10012930;RIO PANO;SC--22;-0,99;-77,81;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10013650;RIO MALO;SC-8;-0,15;-77,64;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10014120;PUERTO MISAHUALLI PUENTE;DHN-CNAP-20;-1,03;-77,66;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;EQUADOR;EQ;68;6,8e+07;EQUADOR;908;EQUADOR;Equador;908;EQUADOR;Equador
10086700;MAZAN;NA;-3,48;-73,08;NA;NA;1;RIO AMAZONAS;1;RIO SOLIMÕES, JAVARI,ITACUAI;10;10000090;RIO NAPO;3;PERU;PU;66;6,6e+07;PERU;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú;906;SENAMHI-PERU;Servicio Nacional de Meteorologia e Hidrologia del Perú
